"Date / Time","City","State","Shape","Duration","Summary","Posted"
"11/9/14 14:00","Woodlands","TX","Fireball","3 minutes","Fireball traveling southwest very high moving very fast, moved directly overhead.  Cleared horizon in under 3 min.","11/14/14"
"11/9/14 12:50","Wanaque","NJ","Sphere","","The planes and the object headed north, then turned very sharply east. It was exactly 12:50 PM.","11/14/14"
"11/9/14 03:00","Casper","WY","Unknown","60 seconds","Loud missile noise.  Seemed impossibly localized.","11/14/14"
"11/9/14 03:00","Prior Lake","MN","Cigar","5 minutes","Green w/ blinking red lights.","11/21/14"
"11/9/14 00:00","Kouts","IN","Cigar","~1 hour","Lights in the eastern sky hovered for an hour before moving off in the distance.","11/14/14"
"11/8/14 22:15","Spring Hill","FL","Formation","5 minutes","Witness to FLEET of UFO's over Spring Hill Florida.","11/14/14"
"11/8/14 21:30","Des Moines","IA","Unknown","3 minutes","Driving along I-80 west bound and saw about 7-9 bright red lights floating in the sky at about the height that a  helicopter would fly.","11/14/14"
"11/8/14 21:30","Urbandale","IA","Sphere","20 seconds","3 glowing orange orbs floated above the interstate at a low level. Moving very slowly. Sky was clear and they were very distinct.","11/14/14"
"11/8/14 21:15","Waterford Twp","MI","Sphere","10 minutes","3 Orange Spheres Vertically floating over Waterford Twp /Keego Harbor Michigan","11/14/14"
"11/8/14 20:45","Edinburg","TX","Circle","5 seconds","Saw what appeared to be a green ball of fire fly west-northwest and disintegrate into white sparks or flames.","11/14/14"
"11/8/14 20:30","San Angelo","TX","Oval","8 seconds","Weird sighting.","11/14/14"
"11/8/14 20:20","Somerset","MA","Light","5 minutes","Red light making unusual moves.","11/14/14"
"11/8/14 20:00","Garner","NC","Light","1-2 minutes","Odd flashing lights.","12/5/14"
"11/8/14 20:00","Ruston","LA","Light","5 minutes","Fifteen bright yellow to orange lights in the sky not moving and when I took a picture they diappeared to the South.","11/14/14"
"11/8/14 19:00","Norton","MA","Circle","10 seconts","White round light / object appeared suddenly on I-495 southbound near Norton Ma","11/14/14"
"11/8/14 18:30","La Quinta","CA","Triangle","10-20 seconds","Large black triangle 1 round light in each corner moving silently across evening sky.","11/21/14"
"11/8/14 18:30","Boca Raton","FL","Other","10 minutes","2 Orange (shaped like ""9"") hovering over sandalfoot both made loop de loops and in less than a second they were 25 miles away","11/14/14"
"11/8/14 17:55","Dover","NH","","4 seconds","Bright light with line of light morphing to 3 lights","11/14/14"
"11/8/14 13:52","Capitola","CA","Cigar","25 minutes","Ribbon Shaped object high in Atmosphere with metallic highly reflective ends, beam seen in one picture visible.","11/14/14"
"11/8/14 10:48","Lawrence","KS","Other","70 seconds","There were 4 or 5 grey aircrafts chasing a dark colored disc like aircraft that was gliding and and changing directions very quickly.","11/14/14"
"11/8/14 09:00","Louisville","KY","Circle","","Going around in circle and then coming togather, as if the were dancing over and over same.  ((NUFORC Note:  Advertising light?  PD))","11/14/14"
"11/8/14 08:00","Mohammed Bin Zayed City (Abu Dhabi)(UAR)","","Circle","7","Blue Green Circular object with spike-like white, moving to the left","11/14/14"
"11/8/14 03:30","Lincoln","NE","Light","10 minutes","((NUFORC Note:  No information provided by source of report.  PD))","11/14/14"
"11/8/14 01:25","Spring","TX","Circle","3 minutes","Multiple reddish circular objects from ground to sky vanish.","11/14/14"
"11/8/14 01:15","Duxbury","MA","Circle","15 minutes","3 Individual bright orange orbs of light, moving across the sky, slightly faster than a plane, one by one, no sound, steady, about a mi","11/14/14"
"11/8/14 00:00","Madison","AL","Unknown","5 seconds","Friend says wow 2 shooting stars, i did not see but i know it wasnt stars","11/14/14"
"11/7/14 22:30","Isle of Palm","SC","Changing","15 minutes","4-6 bright orange lights floating low over the ocean horizon on Isle of Palms","11/14/14"
"11/7/14 22:30","Springhill","FL","Unknown","5 minutes","50 or 60 Reddish orange lights over Springhill, Florida.","11/14/14"
"11/7/14 21:30","Irvine","CA","Sphere","10 seconds","Large round red ball, approx 200 ft. diameter. Observed descending slowly behind a nearby hill, 7/8 obscured by hill when seen. Then di","11/14/14"
"11/7/14 21:00","Honolulu","HI","Light","6-8 seconds","In Waikiki, two separate bright green lights 100 feet off ground, moving at great speed toward ground.","11/14/14"
"11/7/14 21:00","Ahmedabad (India)","","Circle","10 minutes","Dear team I had observed an UFO activity near my place yesterday. Lights were blinking of this object. For more than 10 minutes this ob","11/14/14"
"11/7/14 21:00","Jacksonville","FL","Fireball","30 minutes","Blue green ufo silent.","11/14/14"
"11/7/14 20:30","Hobbs","NM","Changing","15 seconds","Triangle shaped blinking red lights moving slowly in the northern sky.","11/21/14"
"11/7/14 20:00","Palm City","FL","Fireball","2 seconds","White lights zipping through NE sky seen in Stuart, Florida.","11/14/14"
"11/7/14 19:45","Jamestown","OH","Light","30-45 seconds?","Orange lights blinking in and out.","11/14/14"
"11/7/14 19:15","Portland","OR","Formation","~10 minutes","Light formations in Portland sky.","11/14/14"
"11/7/14 18:18","Albuquerque","NM","Fireball","Brief","Green fireball streaking across sky in Albuquerque, NM.","11/14/14"
"11/7/14 18:00","Griggsville","IL","Light","10 seconds","Row of amber lights in the sky.","11/14/14"
"11/7/14 17:25","Macomb","IL","Light","15 minutes","There were two lights that appeared one right after the other, than jets were in the air and a formation of lights was spotted.","11/14/14"
"11/7/14 17:00","Avon","IL","Sphere","15 minutes","Large white circles in a straight row over Avon Illinois.","11/14/14"
"11/7/14 17:00","Carneys Point","NJ","Disk","5 minutes","I saw 3 disk/saucer type objects flying erratic around one another for about 5 minutes and then ascended into the atmosphere.","11/21/14"
"11/7/14 16:45","Grand Junction","CO","Circle","20 minutes","((HOAX??))  Round flying giant lights over mesa veiwed from gj and 1 glowing massive ship above the resta legitimate sighting.","12/12/14"
"11/7/14 16:30","Puyallup/South Hill","WA","Disk","5 minutes","Looked as if it were floating and spinning as it turned one side of it had a row of white lights was moving tward Mt. Rainier. After it","11/14/14"
"11/7/14 07:40","Fort Wayne","IN","Disk","2 minutes","It was a saucer moving faster than anything I have ever seen, for a few moments and then it went straight up in the air and vanished.","11/14/14"
"11/7/14 05:25","Wade","NC","Light","1-2 hours","Strange dancing, multidirectional light in the sky","11/14/14"
"11/7/14 04:53","Hickory","NC","Fireball","10-15 seconds","A very bright orb caught my eye descending roughly thirty degrees from the horizon. For the first second and a half, the orb was teardr","11/14/14"
"11/7/14 02:00","New Port Richey","FL","Light","4 minutes","I went out and looked up in night sky saw light traveling up and up then faster than was gone.","11/21/14"
"11/6/14 22:30","Needles","CA","Fireball","4 seconds","Unknown falling object in Needles, CA.","11/14/14"
"11/6/14 21:00","Onalaska","WI","Circle","","UFO sighting in Onalaska, WI.","11/14/14"
"11/6/14 20:30","Wheat Ridge","CO","Other","Hour","I was out on my balcony smoking cigarette when I saw a green illuminating light keep flashing at first I thought it was one of those bi","11/14/14"
"11/6/14 20:30","Boulder City","NV","Oval","2 hours","From Boulder City looking southwest toward the McCullough mountain range which would be close to Jean NV I saw a oval white light hover","11/14/14"
"11/6/14 20:00","Quapaw","OK","Oval","5 minutes","While driving home tonight we saw a super bright white light with blinking blue and reddish lights moving in different directions above","11/14/14"
"11/6/14 19:55","Lula","GA","Light","2 minutes","Bright Round Light floating through Trees in Lula Georgia.","11/14/14"
"11/6/14 19:45","Buckeye","AZ","Circle","","Circular shaped craft hovering about municipal complex. Multiple vehicles on the road slowed down to view the craft. Hovered silently i","11/14/14"
"11/6/14 19:00","Sulphur","LA","Sphere","5 seconds","A friend and I were returning from Lake Charles, Louisiana, to Sulphur when I spotted a green sphere falling from the sky doubted mys","11/14/14"
"11/6/14 19:00","Greendale","AL","Sphere","5 seconds","Two objects flew across the sky from south to north close together they were jade in color my wife saw them while driving.","11/14/14"
"11/6/14 19:00","Edgerton","WI","Cigar","45 seconds","I saw a line of green lights, 5 in total, slowly crossing the sky with the light toward the rear having a flashing red light next to it","11/14/14"
"11/6/14 18:00","Phenix City","AL","Other","30 seconds","At around 18:00 or 18:30 hrs. on November 6, 2014, my friend and I witnessed a disc like oval craft traveling SE over Phenix City.","11/14/14"
"11/6/14 11:59","Greensboro","NC","Circle","8 minutes","Witnessed three round craft lights around each craft, flight pattern at first slow almost stationary 5 minutes then left quickly.","11/14/14"
"11/6/14 11:30","Lafayette","CO","Unknown","2 minutes","Object in distance darted in straight line, disappeared, showed up in new location and darted in another line, ~10 times","11/14/14"
"11/5/14 22:00","Antrim Township","MI","Triangle","5 minutes","Triangle object slowly traveling east.","11/6/14"
"11/5/14 21:00","Minot","ND","Formation","30","Lights Form Triangle Shape In Minot, ND.","11/6/14"
"11/5/14 20:50","Dearborn","MI","Triangle",":10","Object with red solid lights and blinking green flying and hovering overhead - faint 'whirring' sound","11/14/14"
"11/5/14 20:00","Marlborough","MA","Sphere","8 minutes","Round orange objects floating across sky and disappearing one by one.","11/6/14"
"11/5/14 20:00","McFarland","WI","Rectangle","5 minutes","Normal looking aircraft behind to larger rectangular aircraft with white lights. Traveling Northeast between McFa.","11/14/14"
"11/5/14 20:00","Tampa","FL","Fireball","2 minutes","It was 8:00 pm as a family member proceeded to call out my name with a bit of wary,  it wasnt till i stepped out my house and looked up","11/6/14"
"11/5/14 19:00","Holmes","NY","Triangle","1 minute","2 hovering bright red lights, suddenly more lights illuminated in two triangle shapes.","11/6/14"
"11/5/14 18:40","Peoria","AZ","Circle","","I saw a UFO, then, it disappeared!","11/6/14"
"11/5/14 18:38","Chino Hills","CA","Fireball","1 minute","Small fire orange fireball…","11/6/14"
"11/5/14 18:12","Manassas","VA","Light","2 minutes","Single bright green light seen from my car  over sudley rd near i66 in Manassas. Moved forward, then stopped and hovered before continu","11/6/14"
"11/5/14 15:00","Anderson","CA","Oval","5 minutes","I saw a whole fleet of white and beautiful UFO orbs. There was one other witness. I summoned them.","11/6/14"
"11/5/14 14:00","Flagstaff","AZ","Cigar","5 minutes","Silver Cigar shaped UFO near Mt. Elden.","11/6/14"
"11/5/14 08:30","Littleton (outside of)","CO","Circle","2 minutes","I saw a whight object moving above my school at very high speeds.","11/14/14"
"11/5/14 07:30","Artesia","NM","Cylinder","15 seconds","Was driving to Carlsbad across the highway from Brantley lake hovering above the hill was a metallic cylinder was stationary above a ac","11/6/14"
"11/5/14 04:50","San Tan Valley","AZ","Oval","20 minutes","Single oval object blinking red and white light. Making loops over the Arizona desert near Coolidge, AZ","11/6/14"
"11/5/14 02:50","Hometown","IL","Circle","15-20 seconds","Round object with a set of very dim red lights on it. Moved from West to East.","11/6/14"
"11/5/14 02:45","Woburn","MA","Circle","30 minutes","Bright light over tree with very loud electrical hum.","11/6/14"
"11/5/14 02:45","Zachary","LA","Triangle","10 minutes","5 perfectly Sequential Yellowish Flashing Lights in a Large Triangle with Loud Rumbling Sound Moving in Unison to Northwest in Baton Ro","11/6/14"
"11/4/14 00:00","Denver","CO","Oval","5 minutes","I was standing at the top of the parking garage next to Whole Foods on 2nd Ave in Cherry Creek.  I was admiring the alpen glow looking.","11/6/14"
"11/4/14 23:45","Urbandale","IA","Triangle","2 seconds","Light-weight triangle with organized lights flys low altitude over Urbandale, IA.","11/6/14"
"11/4/14 23:00","Hampton","VA","Rectangle","1:00","It was in a rectangular shape with a row of of big yellowish lights. I noticed when the car i was in stopped the object wasn't moving,i","11/6/14"
"11/4/14 23:00","Hampton","VA","Rectangle","","A rectangle shape with a row of lights inside. I thought it was a plane at first but when the car i was in stopped the object wasn't mo","11/6/14"
"11/4/14 22:20","Tarrytown","NY","Disk","3 seconds","Saw out window.  Flashing red lights, huge and low to ground, disk shaped.","11/6/14"
"11/4/14 20:45","Littleton","CO","Chevron","10 seconds","Large ""V"" shaped craft completely dark.  No lights or sounds at all","11/6/14"
"11/4/14 20:00","Rohnert Park","CA","Light","3 minutes","8 floating lights.","11/6/14"
"11/4/14 17:45","Locust Grove","GA","Light","30 seconds","Three lights, one object, hovering on the northern horizon.","11/6/14"
"11/4/14 16:26","Pelham","MA","Diamond","5 minutes","Diamond shaped object near the Quabbin in Pelham.","11/6/14"
"11/4/14 15:00","Tarzana","CA","Oval","7 minutes","Looked like an aluminum stadium like a blimp that was light up and just hovered then vanished","11/6/14"
"11/4/14 00:20","Gonzalas","LA","Triangle","20 minutes","Black triangular with white light in center seen hovering above trees while driving home","11/6/14"
"11/4/14 00:00","Humble","TX","Rectangle","1 minutes","AMBER SQUARE OBJECT, HIGH  IN  ATMOSPHERE, MOVING NW TO SE (1-MIN)","11/26/14"
"11/3/14 23:45","Ashburnham","MA","Sphere","1 hour","1 turned into 3 pulsating orbs of light, red, blue, green and whitish in color disappeared after use of flashlight in sky","11/6/14"
"11/3/14 23:10","Aberdeen","MD","Unknown","2 seconds","During the course of this evening(11/03/14), I heard several sky based booms, the final one was a bit unnerving.  At approx. 2310hrs in","11/6/14"
"11/3/14 21:30","Wilmington","NC","Circle","5 minutes","Orange ball of fire moving slowing 200 feet above the ground.","11/6/14"
"11/3/14 21:25","Johnson City","NY","Rectangle","5-10 minutes","Witnessed a large object hovering above and then moving away from a power line tower, with lights and no sound.","11/6/14"
"11/3/14 20:10","Naples","FL","Oval","6 minutes","Reddish orange lights that wobbled and change direction as they ascended away","11/6/14"
"11/3/14 20:00","Canyon Lake","CA","Fireball","5 minutes","Walked outside to take trash out.  I saw above my neighbor's house 2 bright orange balls moving together slowly one in front of the oth","11/6/14"
"11/3/14 20:00","Cottonwood","AZ","Light","3 minutes","Extremely bright lights (2) fluctuating downward, and 5 + times brighter than an plane (AND SILENT).  Low Level Flight pattern.","11/26/14"
"11/3/14 20:00","East Stroudsburg","PA","Disk","25 seconds","I thought it was an airplane but what made me realize it wasn't was because their was two objects one was moving way faster than the ot","11/6/14"
"11/3/14 19:20","Berlin","NJ","Unknown","10 minutes","Bright white pulsating light in the night sky with red and green blinking lights underneath.","11/14/14"
"11/3/14 18:30","Watkinsville","GA","Other","3 seconds","We saw a brief flash near the horizon.","11/6/14"
"11/3/14 18:20","Kennesaw","GA","Light","3 seconds","Intense white ORB moving parallel to ground at constant speed spotted in Kennesaw, Georgia, moving parallel to highway.","11/6/14"
"11/3/14 18:20","Durham","NC","Sphere","5-6 seconds","Rapidly descending sparking fireball, seen over the course of several seconds","11/6/14"
"11/3/14 18:20","Jeffersonville","IN","Triangle","5 seconds","UFO seen traveling east on I-265, while driving home from work. Very triagular shaped object. Blue and green in color. Passed my line o","11/6/14"
"11/3/14 17:50","Eurodisney/Marne La Vallée (France)","","Formation","1 minute","Formation of UFOs in the sky during Disney Parade at Eurodisney.","11/6/14"
"11/3/14 10:00","Lorman","MS","Fireball","1-3 seconds","Bright streak of light fast moving started small went out at largest size.","11/6/14"
"11/3/14 08:45","Whitecourt (Canada)","AB","Light","10 minutes","Bright white, red and green light over whitecourt, ab","11/14/14"
"11/3/14 02:40","Oxnard","CA","Sphere","2 minutes","Nighttime BIG orange glowing orb sphere that slowly disappeared into the ocean.","11/6/14"
"11/3/14 01:30","Keyser","WV","Fireball","5 minutes","West Virginia man sees strange orange object in the night sky","11/6/14"
"11/3/14 00:05","Milner","GA","Disk","1 hour","Disk-shaped red green lights turning on a dime saw a bean of lights across the str","11/6/14"
"11/2/14 23:00","Robertsdale","AL","Light","30 minutes","I could not explain it, and wondering if anyone else saw it.","11/6/14"
"11/2/14 23:00","Churubuaco","IN","Other","2 seconds","Very loud boom heard all over the city. Woke a lot of people up. Describe as very loud boom and noise shook the structure they were sta","11/6/14"
"11/2/14 23:00","Cranbury/East Windsor","NJ","Diamond","2 hours","Multitude of diamond shaped crafts appearing miraculously in the sky","11/6/14"
"11/2/14 19:00","Janesville","WI","Light","","Triangle shaped craft lights red green and blue.","11/6/14"
"11/2/14 19:00","Matthews","NC","Formation","5-10 minutes","50+ orbs in a pattern low flight.  Police took image from phone.  I have pictures.","11/6/14"
"11/2/14 18:03","Phoenix","AZ","Unknown","8.51 minutes","Red and green light hovering changed directions instantly.","11/6/14"
"11/2/14 16:12","Troy","OH","Circle","30 seconds","2 bright lights turned in circular motion then vanished.","11/6/14"
"11/2/14 15:30","Olathe","KS","Sphere","30 minutes","I just want to know what it was.  See the pics.","11/6/14"
"11/2/14 12:30","Weston","CT","Sphere","1 second","Bright yellowish sphere cut across sky extrememly fast at what appeared to by a very low altitude. I only saw the orb for a second befo","11/6/14"
"11/2/14 08:20","Petersburg","KY","Circle","?","Huge orb like object in picture not visable to naked eye.","11/6/14"
"11/2/14 05:30","Park Rapids","MN","Light","20 minutes","Flash of light on clear sky heading north from south. Very fast. Minutes later 12 different flocks of birds flying in the same path.","11/6/14"
"11/2/14 04:58","Allentown","PA","Circle","10 seconds","Vanishing lights","11/6/14"
"11/2/14 01:30","Venice","CA","Chevron","1 minute","2 objects - both 5-7 lighst each in a chevron shape - flying slowly with no noise - three times faster than a DJI drone","11/6/14"
"11/2/14 01:30","Oakland","CA","Oval","10 minutes","Glowing flame like red object.","11/6/14"
"11/2/14 01:00","South Bend","IN","Teardrop","3 minutes","Multiple crafts illuminated with white and gray light","11/6/14"
"11/1/14 22:45","Spring Hill","FL","Fireball","2 minutes","Flame looking object.","11/6/14"
"11/1/14 22:45","Bangalore (India)","","Triangle","5-8 minutes","Unusual Intense Lights in Triangle formation and a dark triangular object in the in Bangalore, India on first nov 2014","11/6/14"
"11/1/14 22:35","Simi Valley","CA","Fireball","10 minutes","Red fireball floating in sky.","11/6/14"
"11/1/14 22:30","Simpsonville","SC","Rectangle","00:01:00","It literally looked like a roundish rectangular loaf of bread flying through the sky.","11/6/14"
"11/1/14 22:20","Troy","OH","Formation","3 minutes","((HOAX??))  A stream of ten lights hovering above the city for about three minutes.","11/6/14"
"11/1/14 22:00","Onaway","MI","Light","30 seconds","Stationary bright object that immediately caught my eye as I stepped out the door.","11/14/14"
"11/1/14 22:00","Sheridan","WY","Sphere","Less than one half hour.","Two U.F.O observed first. Then Three , Then more. Six in total. Had to have been Space Craft with all of the manuevers.","11/6/14"
"11/1/14 20:12","Chicago Heights","IL","Light","~5 minutes","My sister called me and told me to immediately go outside and look in the sky. I watched dozens of Orange lights travel from north to s","11/6/14"
"11/1/14 18:40","San Diego","CA","Teardrop","15-20 seconds","Blue/green light changed to white, and then red.  Made hairpin 90 degree turns without slowing down.","11/6/14"
"11/1/14 17:00","Bloomingdale","IL","Light","1-2 minutes","Three lights, 2 bright then grew dim.  All disappeared.","11/6/14"
"11/1/14 12:00","Glenwood Springs","CO","Other","5 minutes","2 large military  bomber like aircraft banking between and below mountain ranges, extremely low flight pattern, flying due west.","11/6/14"
"11/1/14 11:30","Winona","MN","","10 seconds","A bright light appeared shining through our window, then down at our floor and then in the opposite direction towards our closet. The m","11/6/14"
"11/1/14 10:30","Owensboro","KY","Fireball","15 minutes","Fireballs were over Owensboro, KY, late last night at 10:30 p.m..","11/6/14"
"11/1/14 10:00","Greenbrier","AR","Circle","1 minute","Silver ball like object that vanished into thin air.","11/6/14"
"11/1/14 06:45","Holland","TX","Circle","8 seconds","On the morning of Sat., November 1st, 2014, between 6:40 am and 6:45 am, I was traveling south in Texas highway 95.","11/6/14"
"11/1/14 06:40","Sulphur Springs","TX","Oval","10-15 seconds","Deer hunt spoiled by sudden appearance of 3 bright lights, surrounded by a dim amber ring of light.","11/6/14"
"11/1/14 06:30","Chattanooga","TN","Unknown","3","Driving S on Browns Ferry Rd., before Browns Ferry Landing, I noticed to my right a plane flying about 2000ft over Raccon Mountain.","12/5/14"
"11/1/14 05:30","Laconia","NH","Unknown","10 minutes","unusual sound like a large invisible object rising from the ground into the sky;disturbed all dogs in neighborhood","11/14/14"
"11/1/14 03:50","Madison","WI","Light","10 seconds","As I was driving towards Madison, WI, I noticed a light moving across the sky.  It was just one single light, moving fast.","11/6/14"
"11/1/14 03:00","Gainesville","FL","Light","20 minutes","Saw what a hovering obj. making a almost purring noise.Multiple colored bright lights shined directly into the window of our apartmen","11/6/14"
"10/31/14 23:56","Shelton","CT","Sphere","15 minutes","Four bright lights forming massive circle (from ground view - estimated a couple football field large), rotating in a spherical motion,","11/6/14"
"10/31/14 23:00","Diamondhead","MS","Circle","30 seconds","Oct. 31 @ 11pm Saw a round bright green basketball size object 75' from my house tree top level.","11/21/14"
"10/31/14 22:58","Charleston","SC","Triangle","? I was driving","Triangular object sighting in Charleston.","11/6/14"
"10/31/14 21:50","Charlestown","RI","Unknown","7 seconds","Heard a power down of an engine in the sky with no visible object and slight home power flicker","11/6/14"
"10/31/14 21:24","Colorado Springs","CO","Light","20 seconds","2 dull lit glowing orange objects.","11/6/14"
"10/31/14 20:45","Gila Bend","AZ","Fireball","3/4 seconds","I believe what I saw was a very large meteorite.  It was very bright, last just a few seconds; no sound.  ((NUFORC Note:  Meteor? PD))","11/6/14"
"10/31/14 20:15","Allen","TX","Triangle","","Whitish Gray triangular object without lights flew silently above Highway 5 from North to South. The object was as big as a house.","11/6/14"
"10/31/14 20:00","Mooresville","IN","Light","3 seconds","A fast round bright light.","11/6/14"
"10/31/14 19:45","Buford","GA","Cigar",">1 minute","It appeared to be a plane but in the dark it was hard to tell. As it was flying very low while my kids were trick or treating, it could","11/6/14"
"10/31/14 19:30","Pulaski County","GA","Fireball","45 seconds","While travaling north on Hwy 112, my wife asks, ""What is that?""  Looked up to see a fireball falling to the north.","11/6/14"
"10/31/14 19:30","Hawkinsville","GA","Fireball","20-30 seconds","Two fireballs parallel to each other, with one stopping and the other moving in zigzag pattern.","11/14/14"
"10/31/14 19:15","Oklahoma City","OK","Sphere","3-4 seconds","An usual co-incidence with an amazing bright sphere falling or just moving towards the ground.","11/6/14"
"10/31/14 19:00","Spring Hill","TN","Circle","15 seconds","Bright circular UFO zig zagging over Spring Hill, TN 10-31-2014","11/6/14"
"10/31/14 18:30","Glen Burnie","MD","Circle","Hour","While near BWI Airport some friends and  saw what appeared to be a fire in the sky. slowly rising and swinging left and right. If i had","11/6/14"
"10/31/14 18:30","Oxford","FL","Light","90 minutes","Bright red objects moving from the found due east at high rate of speed","11/6/14"
"10/31/14 15:00","Escalon","CA","Disk","","Saucer-shaped object tilting to the left with white glowing ring around it in 1st pic, 2nd pic (seconds after) craft was gone.","11/6/14"
"10/31/14 11:45","Honolulu","HI","Triangle","1.5 hours +","Bright blue triangular outline, oscillating yellow/orange/green lights along the outline over NE skies of honolulu","11/6/14"
"10/31/14 08:00","Salem","OR","Oval","10 minutes","Ufo","11/6/14"
"10/31/14 07:15","McLean","IL","Light","5 minutes","Bright, hovering bright light seen over Central Illinois","11/6/14"
"10/31/14 06:45","Villa Rica","GA","Light","20 minutes","06:45 am Friday October 31st.My neighbor,wife,and I was on the back porch.I was looking up at the stars and noticed what I thought was","11/6/14"
"10/31/14 06:30","Rockland (Canada)","ON","Light","2 minutes","3 blinking lights in the sky","11/6/14"
"10/31/14 02:00","Dahlonega","GA","Oval","2 seconds","Object left a very light trail which was only detectable by  moonlight in the clear night sky.","11/6/14"
"10/31/14 01:45","Lake Luzerne","NY","Changing","2:15","4 color flashing circular UFO ships in upstate NY, USA","11/6/14"
"10/31/14 01:00","Aurora","CO","Disk","Minutes - still there","Pair of Multi-Colored Discs Seen Twice This Week Over Aurora, CO.","11/6/14"
"10/31/14","Coconut Creek","FL","Light","","Clear night 3 orange bright lights pass by from west to east, Coconut Creek, FL.","11/6/14"
"10/30/14 22:25","Brawley","CA","Light","10 seconds","The light was traveling very fast and had no tail behind it.","11/6/14"
"10/30/14 22:15","Hakalau","HI","Light","45 minutes","Pulsating light, changing colors, moving erratically.","11/6/14"
"10/30/14 21:00","Ossipee","NH","Triangle","","I was driving North on Route 16 when ahead of me I saw 3 triangle shaped lights just above the tree-line. They were much bigger than su","11/6/14"
"10/30/14 20:10","Stoneham","ME","Light","10 seconds","Was sitting in my living room at night watching tv and saw a single light that I  for a second thought was a star over the White Mtn.","11/6/14"
"10/30/14 20:00","Dover","FL","Light","2 hours","To many bright orbs.","11/6/14"
"10/30/14 20:00","Muscadine","AL","Unknown","2 minutes","4 bright oval flashes.","11/6/14"
"10/30/14 20:00","Tuftonboro","NH","Formation","5 seconds","Groups (2-5) of yellow blinking lights in horizontal formations & clustered formations. Slightly below Ossipee Mtn. Range. No noise.","11/6/14"
"10/30/14 19:50","Chocorua","NH","Fireball","1-2 minutes","Five distinct glowing objects.","11/6/14"
"10/30/14 19:45","Fairlee","VT","Formation","20 minutes","Large arrow-shape object over town.","12/5/14"
"10/30/14 19:12","Raleigh","NC","","2 minutes","There was a small yellow crescent shaped UFO to the right of the moon and lower than the moon.","11/6/14"
"10/30/14 11:35","Los Angeles","CA","Flash","25 minutes","UFO FLEET OVER LOS ANGELES 10/30/14.","11/6/14"
"10/30/14 04:10","Cape Coral","FL","Fireball","3-4 seconds","This is the second time I have seen this at night in the same exact place in the sky. It was a bright green fire ball traveling toward","11/6/14"
"10/30/14 00:30","New York City (Brooklyn)","NY","Fireball","1 minute each","Bright orange/red fireball looking object flying over NY/NJ towards Verrazano Bridge.","11/6/14"
"10/30/14 00:00","Nortvale","NJ","Triangle","8 seconds","Triangle over Hudson River.","12/12/14"
"10/29/14 21:20","Phoenix","AZ","Light","5-10","Driving down the I-10 saw three aircrafts form a shape of an triangle. Drove under one that seem to be an unfamiliar aircraft with ligh","11/6/14"
"10/29/14 21:15","Northglenn","CO","Triangle","5 seconds","Triangular object, grey in color and dim blue lights- one at what appeared to be the leading tip and 3 each, evenly spaced on either si","11/6/14"
"10/29/14 20:00","Merriville","IN","Fireball","2 minutes","I went outside on my mother third floor balcony to smoke a cigarette about two to three minutes later I see something come from the rig","11/6/14"
"10/29/14 20:00","Carrollton","TX","Other","4-5 seconds","Craft with two rear propulsion engines accelerates and disappeared apx 600 yards as I turned around, and previous triangle craft","12/5/14"
"10/29/14 19:59","Auburn Hills","MI","Sphere","5 seconds","Seven red spheres in a geometric configuration.","11/6/14"
"10/29/14 19:30","Nacogdoches","TX","Light","15 minutes","Three separate ""lights"" witnessed within 15 minutes in East Texas.","11/6/14"
"10/29/14 19:20","Garland","TX","Unknown","1 minute","Multiple reddish colored objects moving in a single-file path from southeast to northwest while gaining altitude.","11/6/14"
"10/29/14 19:18","Oceanside","CA","Circle","5 minutes","Red/Orange lights in the sky.","11/6/14"
"10/29/14 19:00","Franklin","TN","Fireball","1 minute","Fireball moving in the night sky.","11/6/14"
"10/29/14 18:50","Edmond","OK","Rectangle","1 minute","Black angular UFO shaped object near Old North Tower, University of Central Oklahoma, Edmond","11/6/14"
"10/29/14 18:30","Bay Saint Louis","MS","Circle","1 minutes","Large red lights merging into one and descending to the horizon and ejecting a meteor like tail toward the sky before complete descent.","11/6/14"
"10/29/14 18:30","Bay Saint Louis","MS","Circle","1 minutes","5 red circular objects merged into one large red circular object , emit a thin red burst upward, and drifted below the tree line.","11/6/14"
"10/29/14 12:00","Sacramento","CA","Sphere","20 minutes","About 12 noon I saw a bright orb from my front yard about 5 thousand feet above the south end of executive airport in Sacramento/","11/6/14"
"10/29/14 08:55","Lexington","KY","Formation","5-10 minutes","It was one light then many, and then one again.","11/6/14"
"10/29/14 06:55","Moncton (Canada)","NB","Changing","3 minutes","Red flashing lights.","11/6/14"
"10/29/14 05:10","Merriam","KS","Formation","7 seconds","10 pale yellowish bird figures speeding silently through the clear sky","11/6/14"
"10/29/14 00:43","Greensboro","NC","Diamond","1 second","A bright glowing green diamond shot overhead and was gone in less than 2 seconds","11/6/14"
"10/28/14 23:30","Munhall","PA","Circle","2 minutes","I saw a huge circular object with bright lights all around it silently moved across the sky at what seemed to be over the houses. When","11/6/14"
"10/28/14 22:33","Marco Island","FL","Unknown","1 hour","White light (s) spiraling back and forth across the Gulf of Mexico.","11/6/14"
"10/28/14 22:30","Mineola","TX","Other","5-10 minutes","Around 10:30p.m. as my wiife and I witnesses as we watched the sky to the west.From the northwest beyound the treeline we watched five","11/6/14"
